เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
750968716,3/2/2566 0:00,20.sCC,ส่งเเล้ว_CR
610006195,3/2/2566 0:00,19.sCCC,ส่งเเล้ว_CR
730021101,3/9/2566 0:00,19.sCCC,ส่งเเล้ว_CR
750958769,3/9/2566 0:00,21.sC+,ส่งเเล้ว_CR
750848087,3/9/2566 0:00,21.sC+,ส่งเเล้ว_CR
750848599,3/8/2566 0:00,21.sC+,ส่งเเล้ว_CR
710001279,3/9/2566 0:00,20.sCC,ส่งเเล้ว_CR
nan,3/8/2566 0:00,21.sC+,ส่งเเล้ว_CR
750482789,15/3/2566,19.sCCC,ส่งเเล้ว_CR
750912024,3/8/2566 0:00,21.sC+,ส่งเเล้ว_CR
