เลขที่ CIF,วันที่ประเมิน,Grade,การจัดส่ง
390001291,2/12/2564 0:00,17.sBB,ส่งเเล้ว
680011846,15/12/2564 0:00,16.sBBB,ส่งเเล้ว
670003558,9/12/2564 0:00,17.sBB,ส่งเเล้ว
560000141,9/12/2564 0:00,15.sA+,ส่งเเล้ว
530002685,29/12/2564 0:00,18.sB+,ส่งเเล้ว
750070173,3/12/2564 0:00,17.sBB,ส่งเเล้ว
750055943,13/12/2564 0:00,17.sBB,ส่งเเล้ว
730008372,15/12/2564 0:00,18.sB+,ส่งเเล้ว
360001906,8/12/2564 0:00,15.sA+,ส่งเเล้ว
730001645,24/12/2564 0:00,17.sBB,ส่งเเล้ว
730001746,8/12/2564 0:00,17.sBB,ส่งเเล้ว
740001222,9/12/2564 0:00,15.sA+,ส่งเเล้ว
730004426,30/11/2564 0:00,17.sBB,ส่งเเล้ว
750926540,6/4/2564 0:00,21.sC+,ส่งเเล้ว
530007619,15/7/2564,19.sCCC,ส่งเเล้ว
