เลขที่ CIF,Grade,การจัดส่ง
750215283,sCCC,ส่งเเล้ว
680002732,sB+,ส่งเเล้ว
610018730,sBBB,ส่งเเล้ว
750785571,nan,ส่งเเล้ว
750455320,sBB,ส่งเเล้ว
680019111,sB+,ส่งเเล้ว
730010101,sB+,ส่งเเล้ว
610021203,sBB,ส่งเเล้ว
730013901,sBB,ส่งเเล้ว
750783156,sB+,ส่งเเล้ว
750520162,sBB,ส่งเเล้ว
750755937,sCCC,ส่งเเล้ว
630001603,sB+,ส่งเเล้ว
750515631,sBBB,ส่งเเล้ว
750820722,sBB,ส่งเเล้ว
670003558,sBB,ส่งเเล้ว
750771332,sBBB,ส่งเเล้ว
610007017,sB+,ส่งเเล้ว
730020330,sB+,ส่งเเล้ว
360002709,sB+,ส่งเเล้ว
610012030,sBB,ส่งเเล้ว
730002515,sBB,ส่งเเล้ว
730003443,sBB,ส่งเเล้ว
730003443,sBB,ส่งเเล้ว
610000734,sBB,ส่งเเล้ว
510000350,sBB,ส่งเเล้ว
750175868,sB+,ส่งเเล้ว
750175863,sB+,ส่งเเล้ว
740001150,sBB,ส่งเเล้ว
750889221,sB+,ส่งเเล้ว
750721551,sB+,ส่งเเล้ว
750383321,sBBB,ส่งเเล้ว
630001603,sA+,ส่งเเล้ว
610024791,sBB,ส่งเเล้ว
750421967,sBBB,ส่งเเล้ว
610024791,sBB,ส่งเเล้ว
630004734,sBBB,ส่งเเล้ว
750854561,sB+,ส่งเเล้ว
750715625,sC+,ส่งเเล้ว
750442921,sBB,ส่งเเล้ว
750797346,sBB,ส่งเเล้ว
590000927,sBB,ส่งเเล้ว
610012144,sBB,ส่งเเล้ว
730013484,sBBB,ส่งเเล้ว
750252585,sBB,ส่งเเล้ว
750252585,sBB,ส่งเเล้ว
750744442,sB+,ส่งเเล้ว
750264727,sCCC,ส่งเเล้ว
580002368,sB+,ส่งเเล้ว
730013901,sBB,ส่งเเล้ว
730001645,sBB,ส่งเเล้ว
680013560,sBB,ส่งเเล้ว
620001012,sB+,ส่งเเล้ว
580002368,sB+,ส่งเเล้ว
580002366,sB+,ส่งเเล้ว
610008225,sB+,ส่งเเล้ว
750055943,sB+,ส่งเเล้ว
750893627,sCCC,ส่งเเล้ว
750745683,sCCC,ส่งเเล้ว
750817748,sCCC,ส่งเเล้ว
750739636,sBB,ส่งเเล้ว
750526533,sB+,ส่งเเล้ว
480001531,sBB,ส่งเเล้ว
680004084,sBB,ส่งเเล้ว
750203482,sB+,ส่งเเล้ว
750707113,sCC,ส่งเเล้ว
730008403,sCCC,ส่งเเล้ว
610001796,sBB,ส่งเเล้ว
750646634,sCCC,ส่งเเล้ว
310004326,sB+,ส่งเเล้ว
