วันที่ประเมิน,วันที่ประเมิน_adjust
2564-11-26 00:00:00,2021-11-26
2564-11-26 00:00:00,2021-11-26
2565-05-27 00:00:00,2022-05-27
2565-06-27 00:00:00,2022-06-27
2565-01-28 00:00:00,2022-01-28
2565-02-11 00:00:00,2022-02-11
2565-04-29 00:00:00,2022-04-29
2565-04-28 00:00:00,2022-04-28
2565-08-26 00:00:00,2022-08-26
2565-09-15 00:00:00,2022-09-15
2565-11-21 00:00:00,2022-11-21
2565-10-31 00:00:00,2022-10-31
2565-07-12 00:00:00,2022-07-12
2565-06-28 00:00:00,2022-06-28
2565-02-06 00:00:00,2022-02-06
25/4/2565,2022-04-25
13/9/2565,2022-09-13
14/11/2565,2022-11-14
21/12/2565,2022-12-21
29/12/2565,2022-12-29
17/8/2565,2022-08-17
2565-10-02 00:00:00,2022-10-02
2565-03-08 00:00:00,2022-03-08
2565-09-08 00:00:00,2022-09-08
2565-01-07 00:00:00,2022-01-07
27/1/2565,2022-01-27
2565-08-02 00:00:00,2022-08-02
20/1/2565,2022-01-20
21/9/2565,2022-09-21
2565-11-02 00:00:00,2022-11-02
2565-02-02 00:00:00,2022-02-02
25/4/2565,2022-04-25
17/2/2565,2022-02-17
2565-03-08 00:00:00,2022-03-08
2565-10-03 00:00:00,2022-10-03
2565-11-03 00:00:00,2022-11-03
2565-03-04 00:00:00,2022-03-04
14/3/2565,2022-03-14
19/4/2565,2022-04-19
2565-03-05 00:00:00,2022-03-05
2565-09-06 00:00:00,2022-09-06
25/11/2565,2022-11-25
2565-05-05 00:00:00,2022-05-05
2565-03-11 00:00:00,2022-03-11
16/12/2565,2022-12-16
29/12/2564,2021-12-29
29/12/2564,2021-12-29
16/11/2566,2023-11-16
2565-07-01 00:00:00,2022-07-01
20/11/2566,2023-11-20
30/7/2565,2022-07-30
18/10/2565,2022-10-18
2566-11-01 00:00:00,2023-11-01
2566-11-01 00:00:00,2023-11-01
30/7/2565,2022-07-30
17/11/2566,2023-11-17
17/11/2566,2023-11-17
2563-02-05 00:00:00,2020-02-05
2563-06-10 00:00:00,2020-06-10
2563-06-10 00:00:00,2020-06-10
2563-06-30 00:00:00,2020-06-30
2563-05-28 00:00:00,2020-05-28
